ID	OldID	Name	Chebi	Compartment	Formula
M_acgam1p		N-Acetyl-D-glucosamine 1-phosphate(2-)	CHEBI:50565	c | n	C8H14NO9P
M_acgam6p		N-Acetyl-D-glucosamine 6-phosphate(2-)	CHEBI:7127;CHEBI:21521;CHEBI:15784	c | m | n	C8H14NO9P
M_acgamam		N-Acetyl-beta-D-glucosaminylamine	CHEBI:15947	m	C8H16N2O5
M_acgpail		6-(N-acetyl-a-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol(1-)	CHEBI:12194	c	C19H29NO18PR2
M_ach		Acetylcholine	CHEBI:40559;CHEBI:15355	c | e | n	C7H16NO2
M_acon_C		cis-aconitate(3-)	CHEBI:32805	c | m	C6H3O6
M_acorn		N-acetyl-L-ornithine	CHEBI:57805;CHEBI:16543	c | e | n	C7H14N2O3
M_acrn		O-Acetyl-L-carnitine	CHEBI:57589	c | m	C9H17NO4
M_acser		O-Acetyl-L-serine	CHEBI:17981	c | e	C5H9NO4
M_actACP	M_acetoACP	Acetoacetyl-[acp]	CHEBI:2393	c | m	C4H5O2SR
M_ade		Adenine	CHEBI:16708	c | e | m | n	C5H5N5
M_adgal		alpha-D-galactose	CHEBI:28260;CHEBI:28061;CHEBI:42741	c | m | n	C6H12O6
M_adn		Adenosine	CHEBI:40558;CHEBI:16335	c | e | m | n	C10H13N5O4
M_adocbi		adenosylcobinamide	CHEBI:2480	c	C58H84CoN16O11
M_adocbl		Adenosylcobalamin	CHEBI:18408	c | e | m	C72H100CoN18O17P
M_adp		ADP(3-)	CHEBI:16761	c | m | n	C10H12N5O10P2
M_adpglc		ADP-alpha-D-glucose(2-)	CHEBI:15751	n	C16H23N5O15P2
M_adpman		ADP-mannose	CHEBI:28845	n	C16H23N5O15P2
M_adprib		ADP-D-ribose(2-)	CHEBI:16960	c | e	C15H21N5O14P2
M_adsel		Adenylylselenate(2-)	CHEBI:2485	c	C10H12N5O10PSe
M_ahcys		S-Adenosyl-L-homocysteine	CHEBI:45495;CHEBI:16680;CHEBI:57856	c | m | n	C14H20N6O5S
M_ahdt		7,8-dihydroneopterin 3'-triphosphate(4-)	CHEBI:18372	c | n	C9H12N5O13P3
M_aicar		5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide(2-)	CHEBI:18406	c	C9H13N4O8P
M_air		5-amino-1-(5-phosphonato-?-D-ribosyl)imidazol-3-ium	CHEBI:138560;CHEBI:28843	c	C8H13N3O7P
M_ak2gchol		1-alkyl-2-acetyl-sn-glycero-3-phosphocholine	CHEBI:36707	c | n	C10H22NO7PR
M_akdhap	M_1alkdhap	1-alkylglycerone 3-phosphate(2-)	CHEBI:17197	c	C3H4O6PR
M_akg		2-Oxoglutarate(2-)	CHEBI:30915	c | e | m | n	C5H4O5
M_akgm		2-oxoglutaramate	CHEBI:30882	c | e	C5H6NO4
M_ala__D	M_ala_D	D-Alanine	CHEBI:15570	c | e	C3H7NO2
M_ala__L	M_ala_L	L-Alanine	CHEBI:16977	c | e | m | n	C3H7NO2
M_ala_ala_ala		Ala-Ala-Ala	CHEBI:73313	c	C9H17N3O4
M_ala_B		Beta-alanine | beta-Alanine	CHEBI:41050;CHEBI:16958;CHEBI:57966	c | e | m	C3H7NO2
M_ala_L_val__L	M_ala_L_val_L	Ala-Val	CHEBI:73809	c	C8H16N2O3
M_alkenac2g		1-(Z)-alk-1-enyl-2-acyl-sn-glycerol	CHEBI:16903	c	C6H8O4R2
M_alkenac2gp		1-(Z)-alk-1-enyl-sn-glycero-3-phosphate(2-)	CHEBI:73423	c	C6H9O7PR2
M_alkgp		1-Alkyl-sn-glycerol 3-phosphate(2-)	CHEBI:17106	c	C3H6O6PR
M_am6sa		2-Aminomuconate 6-semialdehyde	CHEBI:15745	c	C6H6NO3
M_amchb		4alpha-Methylcholest-8(14)-en-3beta-ol	CHEBI:71581	c	C28H48O
M_amet		S-Adenosyl-L-methionine	CHEBI:67040	c | e | m | n	C15H23N6O5S
M_ametam		S-Adenosylmethioninamine	CHEBI:15625	c	C14H24N6O3S
M_amp		AMP(2-)	CHEBI:16027	c | e | m | n	C10H12N5O7P
M_amuco		2-Aminomuconate	CHEBI:11524;CHEBI:16886	c	C6H6NO4
M_andrstrn		Androsterone	CHEBI:16032	c | e	C19H30O2
M_andrstrnglc		androsterone glucuronide	CHEBI:22556;CHEBI:28832	c | e	C25H37O8
M_anth		Anthranilate	CHEBI:30754	c	C7H6NO2
M_ap4a		P1,P4-bis(5'-adenosyl) tetraphosphate(4-)	CHEBI:17422	c | n	C20H24N10O19P4
M_aprop		alpha-Aminopropiononitrile	CHEBI:27959	c	C3H7N2
M_aprut		N-Acetylputrescine	CHEBI:17768;CHEBI:7222	c	C6H15N2O
M_aps		5'-Adenylyl sulfate(2-)	CHEBI:17709	c | m	C10H12N5O10PS
M_arab__L	M_arab__L	aldehydo-L-arabinose	CHEBI:6182	c | e	C5H10O5
M_arg__D	M_arg_D	D-arginine	CHEBI:41855;CHEBI:15816	c	C6H15N4O2
M_arg__L	M_arg_L	L-Arginine	CHEBI:32682;CHEBI:16467	c | e | m	C6H15N4O2
M_ascb_L		L-Ascorbate	CHEBI:29073	c | e	
M_ascr_1		ascr#1(1-)	CHEBI:78786	c | e	C13H23O6
M_ascr_10		ascr#10(1-)	CHEBI:78838	c | e	C15H27O6
M_ascr_10coa		ascr#10-CoA(4-)	CHEBI:139616	c	C36H58N7O21P3S
M_ascr_11		ascr#11(1-)	CHEBI:78743	c | e	C10H17O6
M_ascr_11coa		ascr#11-CoA(4-)	CHEBI:139619	c	C31H48N7O21P3S
M_ascr_12		ascr#12(1-)	CHEBI:78841	c | e	C12H21O6
M_ascr_12coa		ascr#12-CoA(4-)	CHEBI:139622	c	C33H52N7O21P3S
M_ascr_13		ascr#13(1-)	CHEBI:78851	c | e	C14H23O6
M_ascr_13coa		ascr#13-CoA(4-)	CHEBI:139625	c	C35H54N7O21P3S
M_ascr_14		ascr#14(1-)	CHEBI:78905	c | e	C14H25O6
M_ascr_14coa		ascr#14-CoA(4-)	CHEBI:139628	c	C35H56N7O21P3S
M_ascr_15		ascr#15(1-)	CHEBI:78852	c | e	C16H27O6
M_ascr_15coa		ascr#15-CoA(4-)	CHEBI:139631	c	C37H58N7O21P3S
M_ascr_16		ascr#16(1-)	CHEBI:78950	c | e	C16H29O6
M_ascr_16coa		ascr#16-CoA(4-)	CHEBI:139634	c	C37H60N7O21P3S
M_ascr_17		ascr#17(1-)	CHEBI:78952	c | e	C17H29O6
M_ascr_17coa		ascr#17-CoA(4-)	CHEBI:139637	c	C38H60N7O21P3S
M_ascr_18		ascr#18(1-)	CHEBI:78955	c | e	C17H31O6
M_ascr_18coa		ascr#18-CoA(4-)	CHEBI:139640	c	C38H62N7O21P3S
M_ascr_19		ascr#19(1-)	CHEBI:78957	c | e	C18H31O6
M_ascr_19coa		ascr#19-CoA(4-)	CHEBI:139643	c	C39H62N7O21P3S
M_ascr_1coa		ascr#1-CoA(4-)	CHEBI:139645	c	C34H54N7O21P3S
M_ascr_2		ascr#2	CHEBI:78812	c | e	C12H22O5
M_ascr_20		ascr#20(1-)	CHEBI:78958	c | e	C18H33O6
M_ascr_20coa		ascr#20-CoA(4-)	CHEBI:139648	c	C39H64N7O21P3S
M_ascr_21		ascr#21(1-)	CHEBI:78959	c | e	C19H33O6
M_ascr_21coa		ascr#21-CoA(4-)	CHEBI:139651	c	C40H64N7O21P3S
M_ascr_22		ascr#22(1-)	CHEBI:78960	c | e	C19H35O6
